data_date,org_code,elec_type,data_value,trade_code
2019-04-01,32403,2,41233300,U
2019-04-01,32404,2,16645561,U
2019-04-01,32405,2,17529001,U
2019-04-01,32406,2,60964166,U
2019-04-01,32407,2,40343608,U
2019-04-01,32408,2,25326189,U
2019-04-01,32409,2,66721337,U
2019-04-01,32410,2,29453958,U
2019-04-01,32411,2,8894644,U
2019-04-01,32412,2,24477598,U
2019-04-01,32413,2,32233587,U
2019-05-01,32401,2,25262830,U
2019-05-01,32402,2,15388567,U
2019-05-01,32403,2,57175828,U
2019-05-01,32404,2,23873427,U
2019-05-01,32405,2,24367953,U
2019-05-01,32406,2,75813357,U
2019-05-01,32407,2,60769874,U
2019-05-01,32408,2,40411571,U
2019-05-01,32409,2,98973248,U
2019-05-01,32410,2,46007163,U
2019-05-01,32411,2,12256062,U
2019-05-01,32412,2,32748218,U
2019-05-01,32413,2,47753329,U
2019-06-01,32401,2,31159697,U
2019-06-01,32402,2,22215793,U
2019-06-01,32403,2,73909982,U
2019-06-01,32404,2,29988687,U
2019-06-01,32405,2,39400600,U
2019-06-01,32406,2,84010593,U
2019-06-01,32407,2,70995472,U
2019-06-01,32408,2,62317981,U
2019-06-01,32409,2,110596065,U
2019-06-01,32410,2,82845608,U
2019-06-01,32411,2,15635080,U
2019-06-01,32412,2,47696287,U
2019-06-01,32413,2,55929261,U
2019-07-01,32401,2,42151570,U
2019-07-01,32402,2,33000948,U
2019-07-01,32403,2,92816308,U
2019-07-01,32404,2,43292978,U
2019-07-01,32405,2,45996215,U
2019-07-01,32406,2,88489719,U
2019-07-01,32407,2,106069139,U
2019-07-01,32408,2,80115471,U
2019-07-01,32409,2,144987173,U
2019-07-01,32410,2,105919021,U
2019-07-01,32411,2,22631449,U
2019-07-01,32412,2,67578968,U
2019-07-01,32413,2,96194252,U
2019-08-01,32401,2,47508643,U
2019-08-01,32402,2,38102883,U
2019-08-01,32403,2,78159020,U
2019-08-01,32404,2,49809386,U
2019-08-01,32405,2,50044186,U
2019-08-01,32406,2,109265448,U
2019-08-01,32407,2,93417101,U
2019-08-01,32408,2,78509211,U
2019-08-01,32409,2,151261125,U
2019-08-01,32410,2,100211866,U
2019-08-01,32411,2,21642486,U
2019-08-01,32412,2,68024899,U
2019-08-01,32413,2,72634877,U
2019-09-01,32401,2,35518097,U
2019-09-01,32402,2,31212504,U
2019-09-01,32403,2,69799422,U
2019-09-01,32404,2,39940882,U
2019-09-01,32405,2,40028479,U
2019-09-01,32406,2,94008724,U
2019-09-01,32407,2,80254891,U
2019-09-01,32408,2,54017126,U
2019-09-01,32409,2,141087139,U
2019-09-01,32410,2,79014081,U
2019-09-01,32411,2,16324924,U
2019-09-01,32412,2,59580410,U
2019-09-01,32413,2,66112107,U
2019-10-01,32401,2,29435026,U
2019-10-01,32402,2,24179176,U
2019-10-01,32403,2,62411472,U
2019-10-01,32404,2,34350486,U
2019-10-01,32405,2,30776731,U
2019-10-01,32406,2,86078315,U
2019-10-01,32407,2,55855823,U
2019-10-01,32408,2,45454039,U
2019-10-01,32409,2,95679336,U
2019-10-01,32410,2,67332677,U
2019-10-01,32411,2,13229560,U
2019-10-01,32412,2,42797695,U
2019-10-01,32413,2,42297621,U
2019-11-01,32401,2,25869902,U
2019-11-01,32402,2,15210519,U
2019-11-01,32403,2,46546189,U
2019-11-01,32404,2,21843182,U
2019-11-01,32405,2,27146231,U
2019-11-01,32406,2,72178863,U
2019-11-01,32407,2,46021150,U
2019-11-01,32408,2,46260188,U
2019-11-01,32409,2,76352384,U
2019-11-01,32410,2,61964543,U
2019-11-01,32411,2,11918380,U
2019-11-01,32412,2,38527266,U
2019-11-01,32413,2,37820641,U
2019-12-01,32401,2,25144918,U
2019-12-01,32402,2,11391159,U
2019-12-01,32403,2,52847607,U
2019-12-01,32404,2,16421809,U
2019-12-01,32405,2,21910808,U
2019-12-01,32406,2,54894375,U
2019-12-01,32407,2,46620675,U
2019-12-01,32408,2,43340361,U
2019-12-01,32409,2,62293771,U
2019-12-01,32410,2,51595184,U
2019-12-01,32411,2,10953483,U
2019-12-01,32412,2,29477022,U
2019-12-01,32413,2,38656008,U
2020-01-01,32401,2,22867325,U
2020-01-01,32402,2,10591553,U
2020-01-01,32403,2,48528182,U
2020-01-01,32404,2,15938868,U
2020-01-01,32405,2,19218471,U
2020-01-01,32406,2,44962232,U
2020-01-01,32407,2,45654799,U
2020-01-01,32408,2,39930537,U
2020-01-01,32409,2,56759642,U
2020-01-01,32410,2,46187348,U
2020-01-01,32411,2,10486879,U
2020-01-01,32412,2,23485348,U
2020-01-01,32413,2,35795930,U
2020-02-01,32401,2,17733985,U
2020-02-01,32402,2,7142911,U
2020-02-01,32403,2,37843679,U
2020-02-01,32404,2,11060102,U
2020-02-01,32405,2,13248855,U
2020-02-01,32406,2,45331650,U
2020-02-01,32407,2,38521211,U
2020-02-01,32408,2,28344131,U
2020-02-01,32409,2,51311605,U
2020-02-01,32410,2,20007908,U
2020-02-01,32411,2,8417929,U
2020-02-01,32412,2,19809969,U
2020-02-01,32413,2,30721011,U
2020-03-01,32401,2,20688878,U
2020-03-01,32402,2,8930377,U
2020-03-01,32403,2,48466848,U
2020-03-01,32404,2,14232152,U
2020-03-01,32405,2,17070909,U
2020-03-01,32406,2,62749931,U
2020-03-01,32407,2,48042038,U
2020-03-01,32408,2,28309514,U
2020-03-01,32409,2,66895938,U
2020-03-01,32410,2,32623605,U
2020-03-01,32411,2,9548568,U
2020-03-01,32412,2,25627348,U
2020-03-01,32413,2,38082744,U
2020-04-01,32401,2,21289416,U
2020-04-01,32402,2,10380622,U
2020-04-01,32403,2,50817199,U
2020-04-01,32404,2,16962775,U
2020-04-01,32405,2,18449791,U
2020-04-01,32406,2,68462786,U
2020-04-01,32407,2,46422510,U
2020-04-01,32408,2,33597467,U
2020-04-01,32409,2,81365525,U
2020-04-01,32410,2,46014894,U
2020-04-01,32411,2,9383152,U
2020-04-01,32412,2,28220394,U
2020-04-01,32413,2,40917203,U
2020-05-01,32401,2,28658297,U
2020-05-01,32402,2,20476538,U
2020-05-01,32403,2,60224080,U
2020-05-01,32404,2,28728131,U
2020-05-01,32405,2,30588012,U
2020-05-01,32406,2,77877297,U
